OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ComplianceStatus,Outlier,usage_type,BuildingAge,BuildingRatio,IsMultiUse,NumberPropertyUses
751,2016,NonResidential,Large Office,Blanchard Plaza (CoS Energy Reporting),2201 Sixth Avenue,Seattle,WA,98121.0,0697000235,7,DOWNTOWN,47.61599,-122.34165,1.0,15,378002,116280,261722,Office,270237.0,Parking,71602.0,,,2016201320122011201020092008,Compliant,,Multi-usages,33,0.6923825799863493,1,2
33289,2016,NonResidential,Large Office,Bay Vista Office Building,2827 2nd Ave,Seattle,WA,98121.0,0586400000,7,DOWNTOWN,47.61706,-122.35141,0.0,24,119701,0,119701,Office,102878.0,Retail Store,16823.0,,,,Compliant,,Multi-usages,34,1.0,1,2
24857,2016,NonResidential,Retail Store,(ID24857) EMPIRE CENTER,6032 M L KING JR WAY S,Seattle,WA,98118.0,8113100170,2,SOUTHEAST,47.54723,-122.28455,1.0,1,37883,0,37883,Retail Store,28734.0,Supermarket/Grocery Store,24813.0,,,,Compliant,,Multi-usages,50,1.0,1,2
23064,2016,NonResidential,Other,Evergreen Washelli,11111 Aurora Ave. N,Seattle,WA,98133.0,3026049008,5,NORTHWEST,47.70969,-122.34557,5.0,1,23166,0,23166,Other,23166.0,,,,,,Compliant,,Mono-usage,46,1.0,0,1
23977,2016,NonResidential,Refrigerated Warehouse,Pacific Food Importers,2323 Airport Way S,Seattle,WA,98134.0,7666203245,2,GREATER DUWAMISH,47.58252,-122.32193,1.0,1,41550,0,41550,Refrigerated Warehouse,41550.0,,,,,,Compliant,,Mono-usage,65,1.0,0,1
422,2016,NonResidential,Large Office,Two Union Square,601 Union St.,Seattle,WA,98101.0,1976700125,7,DOWNTOWN,47.61043,-122.33206,1.0,56,1605578,389860,1215718,Office,1314475.0,Parking,389860.0,Other,30744.0,20092005,Compliant,,Multi-usages,27,0.7571840172199669,1,3
25914,2016,NonResidential,Supermarket / Grocery Store,Safeway 1551 - E John St,1410 E John St,Seattle,WA,98112.0,6003501820,3,EAST,47.62048,-122.31386,1.0,1,44739,0,44739,Supermarket/Grocery Store,44739.0,Parking,0.0,,,,Compliant,,Multi-usages,18,1.0,1,2
381,2016,NonResidential,Supermarket / Grocery Store,70500872 -- Holman Road,9999 Holman Road NW,Seattle,WA,98117.0,0767000060,6,NORTHWEST,47.7019,-122.36374,1.0,1,60880,0,60880,Supermarket/Grocery Store,61666.0,,,,,,Compliant,,Mono-usage,60,1.0,0,1
21893,2016,NonResidential,Warehouse,South Park,9125 10th Ave S,Seattle,WA,98108.0,2433700015,1,GREATER DUWAMISH,47.5213,-122.32182,1.0,1,31600,0,31600,Non-Refrigerated Warehouse,31600.0,,,,,,Compliant,,Mono-usage,37,1.0,0,1
26236,2016,NonResidential,Other,4130 1st Ave,4130 1st Ave South,Seattle,WA,98134.0,6172900300,2,GREATER DUWAMISH,47.5661,-122.33358,1.0,2,31360,0,31360,Other - Entertainment/Public Assembly,32000.0,,,,,,Compliant,,Mono-usage,70,1.0,0,1
147,2016,NonResidential,Hospital,Swedish Ballard,5300 Tallman Ave NW,Seattle,WA,98107.0,2767703875,6,BALLARD,47.66737,-122.37956,4.0,5,285333,0,285333,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,,,,Compliant,,Multi-usages,62,1.0,1,2
35391,2016,NonResidential,Retail Store,LUMEN Commercial,500 Mercer st,Seattle,WA,98109.0,4458720000,7,MAGNOLIA / QUEEN ANNE,47.62473,-122.34727,1.0,4,34010,0,34010,Retail Store,38428.0,,,,,,Compliant,,Mono-usage,10,1.0,0,1
24354,2016,NonResidential,Warehouse,1760 4th Avenue South,1760 4th Avenue South,Seattle,WA,98134.0,7666204565,2,GREATER DUWAMISH,47.58661,-122.3281,1.0,1,23792,0,23792,Non-Refrigerated Warehouse,22992.0,Office,800.0,,,,Compliant,,Multi-usages,27,1.0,1,2
24868,2016,NonResidential,Worship Facility,Magnolia,2415 31st Ave,Seattle,WA,98199.0,8127700530,7,MAGNOLIA / QUEEN ANNE,47.64,-122.39743,1.0,1,20140,0,20140,Worship Facility,22000.0,Parking,0.0,,,,Compliant,,Multi-usages,51,1.0,1,2
238,2016,Nonresidential COS,Small- and Mid-Sized Office,North Service Center,1300 N 97th ST,Seattle,WA,98103.0,4310701070,5,NORTHWEST,47.70044,-122.34136,1.0,2,91130,0,91130,Office,57968.0,Distribution Center,32881.0,Parking,11850.0,,Compliant,,Multi-usages,59,1.0,1,5
26535,2016,NonResidential,Mixed Use Property,2967-University District,1300 N.E. 45Th Street,Seattle,WA,98105.0,8816401150,4,NORTHEAST,47.6616,-122.31393,1.0,2,34948,15755,19193,Bank Branch,19183.0,Parking,19183.0,,,,Compliant,,Multi-usages,40,0.5491873640837817,1,2
49926,2016,NonResidential,University,SCCC MAIN BROADWAY/EDISON,1701 BROADWAY,Seattle,WA,98122.0,6003001130,3,EAST,47.61748356,-122.321853,1.0,3,428347,0,428347,College/University,472384.0,,,,,,Compliant,,Mono-usage,91,1.0,0,1
26359,2016,NonResidential,Warehouse,Hansen Bros.,10750 Aurora Ave N,Seattle,WA,98133.0,6300000010,5,NORTHWEST,47.70833,-122.34429,1.0,1,29400,0,29400,Non-Refrigerated Warehouse,25000.0,,,,,,Compliant,,Mono-usage,44,1.0,0,1
640,2016,NonResidential,Large Office,Starbucks Center,2401 Utah Ave South,Seattle,WA,98134.0,7666207220,2,GREATER DUWAMISH,47.58181,-122.33534,0.0,6,1380959,0,1380959,Office,1000730.0,Retail Store,281296.0,Non-Refrigerated Warehouse,220303.0,,Compliant,,Multi-usages,104,1.0,1,3
