datayear,buildingtype,primarypropertytype,councildistrictcode,neighborhood,latitude,longitude,yearbuilt,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding(s),listofallpropertyusetypes,largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,secondlargestpropertyusetypegfa,thirdlargestpropertyusetype,thirdlargestpropertyusetypegfa,energystarscore,siteenergyuse(kbtu),defaultdata,totalghgemissions,ghgemissionsintensity,usage_type,BuildingAge,ParkingRatio,BuildingRatio,IsMultiUse,NumberPropertyUses
2016,NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,,,,,60.0,7226362.5,False,249.98,2.83,Mono-usage,89,0.0,1.0,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,8387933.0,False,295.86,2.86,Multi-usages,20,0.1454531409922175,0.8545468590077825,1,3
2016,NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,,,,,43.0,72587024.0,False,2089.28,2.19,Mono-usage,47,0.2057482925604794,0.7942517074395206,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,,,,,56.0,6794584.0,False,286.43,4.67,Mono-usage,90,0.0,1.0,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,14172606.0,False,505.01,2.88,Multi-usages,36,0.3531153889964688,0.6468846110035311,1,3
2016,Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,,,,,12086616.0,False,301.81,3.1,Mono-usage,17,0.382349313378834,0.6176506866211661,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,,,,,27.0,5758795.0,False,176.14,2.12,Mono-usage,90,0.0,1.0,0,1
2016,NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,6298131.5,False,221.51,2.16,Mono-usage,90,0.0,1.0,0,1
2016,NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,,,,,43.0,13723820.0,False,392.16,2.39,Mono-usage,112,0.0,1.0,0,1
2016,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.60284,-122.33184,1910,1.0,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,,,,,1.0,4573777.0,False,151.12,2.37,Mono-usage,106,0.0234806629834254,0.9765193370165746,0,1
